Req#,Requirement,Explanation,Testable Assertions,Test cases,Tags,Priority,Version & Section/Sub-Section,Comments,Status,Date Integrated,AHA Idea reference
,"An Attachment uses a ""sha2"" property exactly one time (Multiplicity, 4.1.11.table1.row6.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-197
,"A ""length"" property is an Integer (Format, 4.1.11.table1.row5.a)",,,,"Defined by spec,Format,Activity",0,"""1.0.2_ref_text"": ""Format, 4.1.11.table1.row5.a"",

""1.0.2_ref"": ""4.1.11.table1.row5.a"",

""1.0.3_ref"": ""part2.2.4.11.table1.row5.a"",

""1.0.3_link"": [

""Data.md#2.4.11.s2.table1.row5""

]",,Integrated,,XAPI-I-196
,"An Attachment uses a ""length"" property exactly one time (Multiplicity, 4.1.11.table1.row5.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-195
,"A ""contentType"" property is an Internet Media/MIME type (Format, 4.1.11.table1.row4.a, IETF.org)",,,,"Defined by spec,Attachment",0,"""1.0.2_ref_text"": ""Format, 4.1.11.table1.row4.a, IETF.org"",

""1.0.2_ref"": ""4.1.11.table1.row4.a, IETF.org"",

""1.0.3_ref"": ""part2.2.4.11.table1.row4.a"",

""1.0.3_link"": [

""Data.md#2.4.11.s2.table1.row4""

]",,Integrated,,XAPI-I-194
,"An Attachment uses a ""contentType"" property exactly one time (Multiplicity, 4.1.11.table1.row4.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-193
,"An Attachment uses a ""description"" property at most one time (Multiplicity, 4.1.11.table1.row3.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-192
,"An Attachment uses a ""display"" property exactly one time (Multiplicity, 4.1.11.table1.row2.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-191
,"A ""usageType"" property is an IRI (Multiplicity, 4.1.11.table1.row1.b)",,,,"Defined by spec,Attachment,Multiplicity",0,"""1.0.2_ref_text"": ""Multiplicity, 4.1.11.table1.row1.b"",

""1.0.2_ref"": ""4.1.11.table1.row1.b"",

""1.0.3_ref"": ""part2.2.4.table1.row1.b"",

""1.0.3_link"": [

""Data.md#2.4.11.s2.table1.row1""

]",,Integrated,,XAPI-I-190
,"An Attachment uses a ""usageType"" property exactly one time (Multiplicity, 4.1.11.table1.row1.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-189
,"An Attachment is an Object (Definition, 4.1.11)",,,,"Defined by spec,Attachment,Object",0,"""1.0.2_ref_text"": ""Definition, 4.1.11"",

""1.0.2_ref"": ""4.1.11"",

""1.0.3_ref"": ""part2..2.4.11"",

""1.0.3_link"": [

""Data.md#2.4.11""

]",,Integrated,,XAPI-I-188
,"A Statement's ""attachments"" property is an array of Attachments (4.1.2.1.table1.row11.a)",,,,"Defined by spec,Attachment",0,"""1.0.2_ref_text"": ""4.1.2.1.table1.row11.a"",

""1.0.2_ref"": ""4.1.table1.row11.a"",

""1.0.3_ref"": ""part2.2.4.table1.row11.a"",

""1.0.3_link"": [

""Data.md#2.4.s1.table1.row11""

]",,Integrated,,XAPI-I-187
,"A ""version"" property enters the LRS with the value of ""1.0.0"" or is not used (Vocabulary, 4.1.10.e, 4.1.10.f)",,,,"Defined by spec,Vocabulary,Version",0,"""1.0.2_ref_text"": ""Vocabulary, 4.1.10.e, 4.1.10.f"",

""1.0.2_ref"": ""4.1.10.e"",

""1.0.3_ref"": ""part2.2.4.10.e"",

""1.0.3_link"": [

""Data.md#2.4.4.1.s5.b3""

]",,Integrated,,XAPI-I-186
,"An ""authority"" property which is also a Group contains exactly two Agents (Type, 4.1.2.1.table1.row9.a, 4.1.2.1.table1.row9.b, 4.1.9.a)",,,,"Defined by spec,Authority,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.2.1.table1.row9.a, 4.1.2.1.table1.row9.b, 4.1.9.a"",

""1.0.2_ref"": ""4.1.table1.row9.b, 4.1.9.a"",

""1.0.3_ref"": ""part2.2.4.table1.row9.b, part2.2.4.9.a"",

""1.0.3_link"": [

""Data.md#2.4.9.s3.b1""

]",,Integrated,,XAPI-I-185
,"An ""authority"" property is an Agent or Group (Type, 4.1.2.1.table1.row9.a, 4.1.2.1.table1.row9.b, 4.1.9.a)",,,,"Defined by spec,Authority,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.2.1.table1.row9.a, 4.1.2.1.table1.row9.b, 4.1.9.a"",

""1.0.2_ref"": ""4.1.table1.row9.b, 4.1.9.a"",

""1.0.3_ref"": ""part2.2.4.table1.row9.b, part2.2.4.9.a"",

""1.0.3_link"": [

""Data.md#2.4.s1.table1.row9""

]",,Integrated,,XAPI-I-184
,"A ""stored"" property is a TimeStamp (Type, 4.1.2.1.table1.row8.a, 4.1.2.1.table1.row8.b)",,,,"Defined by spec,TimeStamp,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.2.1.table1.row8.a, 4.1.2.1.table1.row8.b"",

""1.0.2_ref"": ""4.1.table1.row8.a"",

""1.0.3_ref"": ""part2.2.4.table1.row8.a"",

""1.0.3_link"": [

""Data.md#2.4.s1.table1.row8""

]",,Integrated,,XAPI-I-183
,"A ""timestamp"" property is a TimeStamp (Type, 4.1.2.1.table1.row7.a, 4.1.2.1.table1.row7.b)",,,,"Defined by spec,TimeStamp",0,"""1.0.2_ref_text"": ""Type, 4.1.2.1.table1.row7.a, 4.1.2.1.table1.row7.b"",

""1.0.2_ref"": ""4.1.table1.row7.a, 4.1.table1.row7.b"",

""1.0.3_ref"": ""part2.2.4.table1.row7.a"",

""1.0.3_link"": [

""Data.md#2.4.s1.table1.row7""

]",,Integrated,,XAPI-I-182
,"A Statement's ""context"" property uses an ""extensions"" property at most one time (Multiplicity, 4.1.6.table1.row9.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-181
,"A ""statement"" property is a Statement Reference (Type, 4.1.6.table1.row8.a)",,,,"Defined by spec,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.6.table1.row8.a"",

""1.0.2_ref"": ""4.1.6.table1.row8.a"",

""1.0.3_ref"": ""part2.2.4.6.table1.row8.a"",

""1.0.3_link"": [

""Data.md#2.4.6.s3.table1.row8""

]",,Integrated,,XAPI-I-180
,"A Statement's ""context"" property uses a ""statement"" property at most one time (Multiplicity, 4.1.6.table1.row8.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-179
,"A ""language"" property follows RFC5646 (Format, 4.1.6.table1.row7.a, RFC5646)",,,,"Defined by spec,Format",0,"""1.0.2_ref_text"": ""Format, 4.1.6.table1.row7.a, RFC5646"",

""1.0.2_ref"": ""4.1.6.table1.row7.a, RFC5646"",

""1.0.3_ref"": ""part2.2.4.6.table1.row7.a, RFC5646"",

""1.0.3_link"": [

""Data.md#2.4.6.s3.table1.row7""

]",,Integrated,,XAPI-I-178
,"A ""language"" property is a String (Type, 4.1.6.table1.row7.a)",,,,"Defined by spec,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.6.table1.row7.a"",

""1.0.2_ref"": ""4.1.6.table1.row7.a"",

""1.0.3_ref"": ""part2.2.4.6.table1.row7.a"",

""1.0.3_link"": [

""Data.md#2.4.6.s3.table1.row7""

]",,Integrated,,XAPI-I-177
,"A Statement's ""context"" property uses a ""language"" property at most one time (Multiplicity, 4.1.6.table1.row7.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-176
,"A Statement cannot contain both a ""platform"" property in its ""context"" property and have the value of the ""object"" property's ""objectType"" be anything but ""Activity"" (4.1.6.b)",,,,"Defined by spec,Context,Activity,Object",0,"""1.0.2_ref_text"": ""4.1.6.b"",

""1.0.2_ref"": ""4.1.6.b"",

""1.0.3_ref"": ""part2.2.4.6.b"",

""1.0.3_link"": [

""Data.md#2.4.6.s4.b2""

]",,Integrated,,XAPI-I-175
,"A ""platform"" property is a String (Type, 4.1.6.table1.row6.a)",,,,"Defined by spec,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.6.table1.row6.a"",

""1.0.2_ref"": ""4.1.6.table1.row6.a"",

""1.0.3_ref"": ""part2.2.4.6.table1.row6.a"",

""1.0.3_link"": [

""Data.md#2.4.6.s3.table1.row6""

]",,Integrated,,XAPI-I-174
,"A Statement's ""context"" property uses an ""platform"" property at most one time (Multiplicity, 4.1.6.table1.row6.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-173
,"A Statement cannot contain both a ""revision"" property in its ""context"" property and have the value of the ""object"" property's ""objectType"" be anything but ""Activity"" (4.1.6.a)",,,,"Defined by spec,Context,Object,Activity",0,"""1.0.2_ref_text"": ""4.1.6.a"",

""1.0.2_ref"": ""4.1.6.a"",

""1.0.3_ref"": ""part2.2.4.6.a"",

""1.0.3_link"": [

""Data.md#2.4.6.s4.b1""

]",,Integrated,,XAPI-I-172
,"A ""revision"" property is a String (Type, 4.1.6.table1.row5.a)",,,,"Defined by spec,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.6.table1.row5.a"",

""1.0.2_ref"": ""4.1.6.table1.row5.a"",

""1.0.3_ref"": ""part2.2.4.6.table1.row5.a"",

""1.0.3_link"": [

""Data.md#2.4.6.s3.table1.row5""

]",,Integrated,,XAPI-I-171
,"A Statement's ""context"" property uses an ""revision"" property at most one time (Multiplicity, 4.1.6.table1.row5.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-170
,"A ContextActivity is defined as a single Activity of the ""value"" of the ""contextActivities"" property (definition)",,,,"Defined by spec,Definition,Context,Activity",0,"""1.0.2_ref"": ""definition"",

""1.0.3_ref"": ""where is this definition?"",

""1.0.3_link"": [

""Data.md#2.4.6.2.s4.b2""

]",,Integrated,,XAPI-I-169
,"A ""contextActivities"" property's ""value"" is an Activity (Format, 4.1.6.2.a)",,,,"Defined by spec,Format,Context",0,"""1.0.2_ref_text"": ""Format, 4.1.6.2.a"",

""1.0.2_ref"": ""4.1.6.2.a"",

""1.0.3_ref"": ""part2.2.4.6.2.a"",

""1.0.3_link"": [

""Data.md#2.4.6.2.s4.b2""

]",,Integrated,,XAPI-I-168
,"A ""contextActivities"" property's ""key"" has a value of ""parent"", ""grouping"", ""category"", or ""other"" (Format, 4.1.6.2.a)",,,,"Defined by spec,Format,Context",0,"""1.0.2_ref_text"": ""Format, 4.1.6.2.a"",

""1.0.2_ref"": ""4.1.6.2.a"",

""1.0.3_ref"": ""part2.2.4.6.2.a"",

""1.0.3_link"": [

""Data.md#2.4.6.2.s4.b1""

]",,Integrated,,XAPI-I-167
,"A ""contextActivities"" property contains one or more key/value pairs (Format, 4.1.a, 4.1.6.2.b)",,,,"Defined by spec,Context,Format",0,"""1.0.2_ref_text"": ""Format, 4.1.a, 4.1.6.2.b"",

""1.0.2_ref"": ""4.1.a, 4.1.6.2.b"",

""1.0.3_ref"": ""part2.2.4.a, part2.2.4.6.2.b"",

""1.0.3_link"": [

""Data.md#2.4.6.2.s4.b2""

]",,Integrated,,XAPI-I-166
,"A ""contextActivities"" property is an Object (Type, 4.1.5.table1.row4.a)",,,,"Defined by spec,Object,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.5.table1.row4.a"",

""1.0.2_ref"": ""4.1.6.table1.row4.a"",

""1.0.3_ref"": ""part2.2.4.6.table1.row4.a"",

""1.0.3_link"": [

""Data.md#2.4.6.s3.table1.row4""

]",,Integrated,,XAPI-I-165
,"A Statement's ""context"" property uses a ""contextActivities"" property at most one time (Multiplicity, 4.1.6.table1.row4.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-164
,"An ""team"" property is a Group (Type, 4.1.6.table1.row3.a)",,,,"Defined by spec,Group,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.6.table1.row3.a"",

""1.0.2_ref"": ""4.1.6.table1.row3.a"",

""1.0.3_ref"": ""part2.2.4.6.table1.row3.a"",

""1.0.3_link"": [

""Data.md#2.4.6.s3.table1.row3""

]",,Integrated,,XAPI-I-163
,"A Statement's ""context"" property uses an ""team"" property at most one time (Multiplicity, 4.1.6.table1.row3.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-162
,"An ""instructor"" property is an Agent (Type, 4.1.6.table1.row2.a)",,,,"Defined by spec,Agent",0,"""1.0.2_ref_text"": ""Type, 4.1.6.table1.row2.a"",

""1.0.2_ref"": ""4.1.6.table.table1.row2.a"",

""1.0.3_ref"": ""part2.2.4.6.table1.row2.a"",

""1.0.3_link"": [

""Data.md#2.4.6.s3.table1.row2""

]",,Integrated,,XAPI-I-161
,"A Statement's ""context"" property uses an ""instructor"" property at most one time (Multiplicity, 4.1.6.table1.row2.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-160
,"A ""registration"" property is a UUID (Type, 4.1.6.table1.row1.a)",,,,"Defined by spec,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.6.table1.row1.a"",

""1.0.2_ref"": ""4.1.6.table1.row1.a"",

""1.0.3_ref"": ""part2.2.4.6.table1.row1.a"",

""1.0.3_link"": [

""Data.md#2.4.6.s3.table1.row1""

]",,Integrated,,XAPI-I-159
,"A Statement's ""context"" property uses a ""registration"" property at most one time (Multiplicity, 4.1.6.table1.row1.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-158
,"An Extension ""key"" is an IRI (Format, 5.3.a)",,,,"Defined by spec,Extensions",0,"""1.0.2_ref_text"": ""Format, 5.3.a"",

""1.0.2_ref"": ""5.3.a"",

""1.0.3_ref"": ""part2.4.1.a"",

""1.0.3_link"": [

""Data.md#4.1.s3.b1""

]",,Integrated,,XAPI-I-157
,"An Extension can be empty (Format, 5.3)",,,,"Defined by spec,Extensions",0,"""1.0.2_ref_text"": ""Format, 5.3"",

""1.0.2_ref"": ""5.3"",

""1.0.3_ref"": ""part2.4.1"",

""1.0.3_link"": [

""Data.md#4.1""

]",,Integrated,,XAPI-I-156
,"An Extension's structure is that of ""key""/""value"" pairs (Format, 5.3)",,,,"Defined by spec,Extensions",0,,,Integrated,,XAPI-I-155
,"An Extension is defined as an Object of any ""extensions"" property (Multiplicity, 5.3)",,,,"Defined by spec,Multiplicity,Object",0,"""1.0.2_ref_text"": ""Multiplicity, 5.3"",

""1.0.2_ref"": ""5.3"",

""1.0.3_ref"": ""part2.4.1"",

""1.0.3_link"": [

""Data.md#4.1.s2""

]",,Integrated,,XAPI-I-154
,"An ""extensions"" property is an Object (Type, 4.1.5.table1.row3.a)",,,,"Defined by spec,Extensions,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.5.table1.row3.a"",

""1.0.2_ref"": ""4.1.5.table1.row6.a"",

""1.0.3_ref"": ""part2.2.4.5.table1.row6.a"",

""1.0.3_link"": [

""Data.md#2.4.5.s2.table1.row5""

]",,Integrated,,XAPI-I-153
,"A Statement's ""result"" property uses an ""extensions"" property at most one time (Multiplicity, 4.1.5.table1.row3.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-152
,"A ""duration"" property keeps at least 0.01 seconds of precision (Type, 4.1.5.table1.row3.a)",,,,"Defined by spec,Result,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.5.table1.row3.a"",

""1.0.2_ref"": ""4.1.5.table1.row5.a"",

""1.0.3_ref"": ""part2.2.4.5.table1.row5.a"",

""1.0.3_link"": [

""Data.md#2.4.5.s2.table1.row4""

]",,Integrated,,XAPI-I-151
,"A ""duration"" property is a formatted to ISO 8601 (Type, 4.1.5.table1.row3.a)",,,,"Defined by spec,Type,Result",0,"""1.0.2_ref_text"": ""Type, 4.1.5.table1.row3.a"",

""1.0.2_ref"": ""4.1.5.table1.row5.a"",

""1.0.3_ref"": ""part2.2.4.5.table1.row5.a, 4.6.a, ISO 8601:2004(E) section 4.4.3.2"",

""1.0.3_link"": [

""Data.md#2.4.5.s2.table1.row4""

]",,Integrated,,XAPI-I-150
,"A Statement's ""result"" property uses a ""duration"" property at most one time (Multiplicity, 4.1.5.table1.row3.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-149
,"A ""response"" property is a String (Type, 4.1.5.table1.row3.a)",,,,"Defined by spec,Result,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.5.table1.row3.a"",

""1.0.2_ref"": ""4.1.5.table1.row4.a"",

""1.0.3_ref"": ""part2.2.4.5.table1.row4.a"",

""1.0.3_link"": [

""Data.md#2.4.5.s2.table1.row3""

]",,Integrated,,XAPI-I-148
,"A Statement's ""result"" property uses a ""response"" property at most one time (Multiplicity, 4.1.5.table1.row3.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-147
,"A ""completion"" property is a Boolean (Type, 4.1.5.table1.row3.a)",,,,"Defined by spec,Result,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.5.table1.row3.a"",

""1.0.2_ref"": ""4.1.5.table1.row3.a"",

""1.0.3_ref"": ""part2.2.4.5.table1.row3.a"",

""1.0.3_link"": [

""Data.md#2.4.5.s2.table1.row2""

]",,Integrated,,XAPI-I-146
,"A Statement's ""result"" property uses a ""completion"" property at most one time (Multiplicity, 4.1.5.table1.row3.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-145
,"A ""success"" property is a Boolean (Type, 4.1.5.table1.row2.a)",,,,"Defined by spec,Result,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.5.table1.row2.a"",

""1.0.2_ref"": ""4.1.5.table1.row2.a"",

""1.0.3_ref"": ""part2.2.4.5.table1.row2.a"",

""1.0.3_link"": [

""Data.md#2.4.5.s2.table1.row1""

]",,Integrated,,XAPI-I-144
,"A Statement's ""result"" property uses a ""success"" property at most one time (Multiplicity, 4.1.5.table1.row2.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-143
,"A ""score"" Object's ""max"" property is a Decimal accurate to seven significant decimal figures (Type, 4.1.5.1.table1.row4.a, SCORM 2004 4Ed)",,,,"Defined by spec,Result,Type",0,"""1.0.2_ref_text"": ""Type, 4.1.5.1.table1.row4.a, SCORM 2004 4Ed"",

""1.0.2_ref"": ""4.1.5.1.table1.row4.a, SCORM 2004 4Ed"",

""1.0.3_ref"": ""part2.2.4.5.1.table1.row4.a"",

""1.0.3_link"": [

""Data.md#2.4.5.1.s2.table1.row4""

]",,Integrated,,XAPI-I-142
,"A ""score"" Object uses a ""max"" property at most one time (Multiplicity, 4.1.5.1.table1.row4.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-141
,"A ""score"" Object's ""min"" property is a Decimal accurate to seven significant decimal figures (Type, 4.1.5.1.table1.row3.a, SCORM 2004 4Ed)",,,,"Defined by spec,Result",0,"""1.0.2_ref_text"": ""Type, 4.1.5.1.table1.row3.a, SCORM 2004 4Ed"",

""1.0.2_ref"": ""4.1.5.1.table1.row3.a, SCORM 2004 4Ed"",

""1.0.3_ref"": ""part2.2.4.5.1.table1.row3.a"",

""1.0.3_link"": [

""Data.md#2.4.5.1.s2.table1.row3""

]",,Integrated,,XAPI-I-140
,"A ""score"" Object uses a ""min"" property at most one time (Multiplicity, 4.1.5.1.table1.row3.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-139
,"A ""score"" Object's ""raw"" property is a Decimal accurate to seven significant decimal figures (Type, 4.1.5.1.table1.row2.a, SCORM 2004 4Ed)",,,,"Defined by spec,Type,Result",0,"""1.0.2_ref_text"": ""Type, 4.1.5.1.table1.row2.a, SCORM 2004 4Ed"",

""1.0.2_ref"": ""4.1.5.1.table1.row2.a, SCORM 2004 4Ed"",

""1.0.3_ref"": ""part2.2.4.5.1.table1.row2.a"",

""1.0.3_link"": [

""Data.md#2.4.5.1.s2.table1.row2""

]",,Integrated,,XAPI-I-138
,"A ""score"" Object uses a ""raw"" property at most one time (Multiplicity, 4.1.5.1.table1.row3.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-137
,"A ""score"" Object's ""scaled"" property is a Decimal accurate to seven significant decimal figures (Type, 4.1.5.1.table1.row1.a, SCORM 2004 4Ed)",,,,"Defined by spec,Type,Result",0,"""1.0.2_ref_text"": ""Type, 4.1.5.1.table1.row1.a, SCORM 2004 4Ed"",

""1.0.2_ref"": ""4.1.5.1.table1.row1.a, SCORM 2004 4Ed"",

""1.0.3_ref"": ""part2.2.4.5.1.table1.row1.a"",

""1.0.3_link"": [

""Data.md#2.4.5.1.s2.table1.row1""

]",,Integrated,,XAPI-I-136
,"A ""score"" Object uses a ""scaled"" property at most one time (Multiplicity, 4.1.5.1.table1.row1.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-135
,"A ""score"" property is an Object (Type, 4.1.5.table.row1.a)",,,,"Defined by spec,Object,Type,Result",0,"""1.0.2_ref_text"": ""Type, 4.1.5.table.row1.a"",

""1.0.2_ref"": ""4.1.5.table1.row1.a"",

""1.0.3_ref"": ""part2.2.4.5.table1.row1.a"",

""1.0.3_link"": [

""Data.md#2.4.5.1""

]",,Integrated,,XAPI-I-134
,"A Statement's ""result"" property uses a ""score"" property at most one time (Multiplicity, 4.1.5.table1.row1.c)",,,,Defined by spec,0,,,Integrated,,XAPI-I-133
,"A Sub-Statement cannot use the ""authority"" property (4.1.4.2.f)",,,,Defined by spec,0,,,Integrated,,XAPI-I-132
,"A Sub-Statement cannot use the ""version"" property (4.1.4.2.f)",,,,"Defined by spec,Version",0,"""1.0.2_ref_text"": ""4.1.4.3.f"",

""1.0.2_ref"": ""4.1.4.3.f"",

""1.0.3_ref"": ""part2.2.4.4.3.e"",

""1.0.3_link"": [

""Data.md#2.4.4.3.s8.b3""

]",,Integrated,,XAPI-I-131
,"A Sub-Statement cannot use the ""stored"" property (4.1.4.2.f)",,,,Defined by spec,0,"""1.0.2_ref_text"": ""4.1.4.3.f"",

""1.0.2_ref"": ""4.1.4.3.f"",

""1.0.3_ref"": ""part2.2.4.4.3.e"",

""1.0.3_link"": [

""Data.md#2.4.4.3.s8.b3""

]",,Integrated,,XAPI-I-130
,"A Sub-Statement cannot use the ""id"" property at the Statement level (4.1.4.3.f)",,,,"Defined by spec,ID",0,"""1.0.2_ref_text"": ""4.1.4.3.f"",

""1.0.2_ref"": ""4.1.4.3.f"",

""1.0.3_ref"": ""part2.2.4.4.3.e"",

""1.0.3_link"": [

""Data.md#2.4.4.3.s8.b3""

]",,Integrated,,XAPI-I-129
,A Sub-Statement cannot have a Sub-Statement (4.1.4.3.g),,,,Defined by spec,0,"""1.0.2_ref_text"": ""4.1.4.3.g"",

""1.0.2_ref"": ""4.1.4.3.g"",

""1.0.3_ref"": ""part2.2.4.4.3.f"",

""1.0.3_link"": [

""Data.md#2.4.4.3.s8.b4""

]",,Integrated,,XAPI-I-128
,A Sub-Statement follows the requirements of all Statements (4.1.4.3.e),,,,Defined by spec,0,"""1.0.2_ref_text"": ""4.1.4.3.e"",

""1.0.2_ref"": ""4.1.4.3.e"",

""1.0.3_ref"": ""part2.2.4.4.3.d"",

""1.0.3_link"": [

""Data.md#2.4.4.3.s8.b2""

]",,Integrated,,XAPI-I-127
,"A Sub-Statement is defined by the ""objectType"" of an ""object"" with value ""SubStatement"" (4.1.4.3.d)",,,,"Defined by spec,objectType",0,"""1.0.2_ref_text"": ""4.1.4.3.d"",

""1.0.2_ref"": ""4.1.4.3.d"",

""1.0.3_ref"": ""part2.2.4.4.3.c"",

""1.0.3_link"": [

""Data.md#2.4.4.3.s8.b1""

]",,Integrated,,XAPI-I-126
,"A Statement Reference's ""id"" property is a UUID (Type, 4.1.4.3.table1.row2.a)",,,,"Defined by spec,Type,ID",0,"""1.0.2_ref_text"": ""Type, 4.1.4.3.table1.row2.a"",

""1.0.2_ref"": ""4.1.4.3.table1.row2.a"",

""1.0.3_ref"": ""part2.2.4.4.3.table1.row2.a"",

""1.0.3_link"": [

""Data.md#2.4.4.3.s4.table1.row2""

]",,Integrated,,XAPI-I-125
,"A Statement Reference contains an ""id"" property (Multiplicity, 4.1.4.3.table1.row2.b)",,,,"Defined by spec,Multiplicity,ID",0,"""1.0.2_ref_text"": ""Multiplicity, 4.1.4.3.table1.row2.b"",

""1.0.2_ref"": ""4.1.4.3.table1.row2.b"",

""1.0.3_ref"": ""part2.2.4.4.3.table1.row2.b"",

""1.0.3_link"": [

""Data.md#2.4.4.3.s4.table1.row2""

]",,Integrated,,XAPI-I-124
,"A Statement Reference uses the ""id"" property at most one time (Multiplicity, 4.1.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-123
,"A Statement Reference is defined by the ""objectType"" of an ""object"" with value ""StatementRef"" (4.1.4.2.a)",,,,"Defined by spec,objectType,Object",0,"""1.0.2_ref_text"": ""4.1.4.2.a"",

""1.0.2_ref"": ""4.1.4.3.a"",

""1.0.3_ref"": ""part2.2.4.4.3.a"",

""1.0.3_link"": [

""Data.md#2.4.4.3.s4.b1""

]",,Integrated,,XAPI-I-122
,"An Activity Definition's ""extension"" property is an Object (Type, 4.1.4.1.table2.row1.a)",,,,"Defined by spec,Activity,Object",0,"""1.0.2_ref_text"": ""Type, 4.1.4.1.table2.row1.a"",

""1.0.2_ref"": ""4.1.4.1.table2.row1.a"",

""1.0.3_ref"": ""part2.2.4.4.1.table2.row1.a"",

""1.0.3_link"": [

""Data.md#2.4.4.1.s2.table1.row5""

]",,Integrated,,XAPI-I-121
,"An Activity Definition uses the ""extensions"" property at most one time (Multiplicity, 4.1.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-120
,"A ""description"" property is a Language Map (Type, 4.1.4.1.table4.row2.a, 4.1.11.table1.row3.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-119
,"An Interaction Component uses the ""description"" property at most one time (Multiplicity, 4.1.a)",,,,Defined by spec,0,,,Integrated,,XAPI-I-118
,"Within an array of Interaction Components, the ""id"" property is unique (Multiplicty, 4.1.4.1.w)",,,,"Defined by spec,ID,Activity",0,"""1.0.2_ref_text"": ""Multiplicty, 4.1.4.1.w"",

""1.0.2_ref"": ""4.1.4.1.w"",

""1.0.3_ref"": ""part2.2.4.4.1.s"",

""1.0.3_link"": [

""Data.md#2.4.4.1.s16.b1""

]",,Integrated,,XAPI-I-117
,"An Interaction Component's ""id"" property is a String (Type, 4.1.4.1.table4.row1.a)",,,,"Defined by spec,Activity",0,"""1.0.2_ref_text"": ""Type, 4.1.4.1.table4.row1.a"",

""1.0.2_ref"": ""4.1.4.1.table4.row1.a"",

""1.0.3_ref"": ""part2.2.4.4.1.table8.row1.a"",

""1.0.3_link"": [

""Data.md#2.4.4.1.s15.table1.row1""

]",,Integrated,,XAPI-I-116
,"An Interaction Component contains an ""id"" property (Multiplicity, 4.1.4.1.table4.row1.b)",,,,"Defined by spec,Activity",0,"""1.0.2_ref_text"": ""Multiplicity, 4.1.4.1.table4.row1.b"",

""1.0.2_ref"": ""4.1.4.1.table4.row1.b"",

""1.0.3_ref"": ""part2.2.4.4.1.table8.row1.b"",

""1.0.3_link"": [

""Data.md#2.4.4.1.s15.table1.row1""

]",,Integrated,,XAPI-I-115
,"An Interaction Component uses the ""id"" property at most one time (Multiplicity, 4.1.a)",,,,"Defined by spec,Object,Multiplicity",1,,,Integrated,,XAPI-I-114
,An Interaction Component is an Object (4.1.4.1.table4),,,,"Defined by spec,Object",1,"""1.0.2_ref_text"": ""4.1.4.1.table4"",

""1.0.2_ref"": ""4.1.4.1.table4"",

""1.0.3_ref"": ""part2.2.4.4.1.table8"",

""1.0.3_link"": [

""Data.md#interaction-components""

]",,Integrated,,XAPI-I-113
,"An Activity Definition's ""steps"" property is an array of Interaction Components (4.1.4.1.table3.row3.a)",,,,"Defined by spec,Object,Activity",0,"""1.0.2_ref_text"": ""4.1.4.1.table3.row3.a"",

""1.0.2_ref"": ""4.1.4.1.table3.row3.a"",

""1.0.3_ref"": ""part2.2.4.4.1.table3.row3.a"",

""1.0.3_link"": [

""Data.md#2.4.4.1.s8.table1.row3""

]",,Integrated,,XAPI-I-112
